City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Ewo,CG,83.68,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
196,Cockburn Town,BS,84.45,broken clouds,26.5412,-77.0636,Abaco Beach Resort
197,Bontang,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
198,Crab Hill,BB,83.03,few clouds,13.2167,-59.5167,Atlantis Hotel
199,Arroyo,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
200,Chapais,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
201,Sabang,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
202,Soe,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
203,Amahai,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
204,Kuito,AO,71.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
205,Hilton Head Island,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
206,Miles City,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
207,Benguela,AO,71.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
208,Port Blair,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
209,Kuching,MY,76.69,light rain,5.7336,102.4897,One Utama Hotel
210,Cedar City,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
211,Bintulu,MY,76.69,light rain,5.7336,102.4897,One Utama Hotel
212,Bonavista,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
213,Taylor,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
214,Zhuhai,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
215,Nanakuli,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
216,Mendahara,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
217,Marrakesh,MA,86.07,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
218,Pantai Remis,MY,76.69,light rain,5.7336,102.4897,One Utama Hotel
219,Marawi,SD,80.42,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
220,Korla,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
221,Muncar,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
223,Mahbubabad,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
224,Marystown,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
225,Safut,JO,81.52,clear sky,32.0336,35.8332,Amman International Hotel
226,Oyama,JP,80.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
227,Fukuma,JP,80.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
228,Pictou,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
229,Cozumel,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
230,Yarada,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
231,Panaba,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
232,Rawannawi,KI,84.07,few clouds,3.0707,172.7902,Isles Sunset Lodge
233,West Wendover,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
234,Moreira,PT,73.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
235,Rubano,IT,73.4,scattered clouds,45.4209,11.8072,Hotel Marco Effe
236,Port Hawkesbury,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
237,Omboue,GA,76.05,scattered clouds,-1.5746,9.2618,Hotel Olako
238,Artesia,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
239,Marsa Matruh,EG,89.64,dust,27.2574,33.8129,Sea Star Beau Rivage Hotel
240,Shahr-E Kord,IR,80.02,scattered clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
241,Sibolga,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
242,Tual,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
243,Xiangxiang,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
244,Wulanhaote,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
245,Emba,KZ,73.26,clear sky,46.844,74.9804,Family
246,Port-Gentil,GA,76.05,scattered clouds,-1.5746,9.2618,Hotel Olako
247,Haines Junction,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
248,Amuntai,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
249,Axim,GH,72.81,overcast clouds,9.4427,-0.0099,Eyarro Lodge
250,Yanan,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
251,Punta De Bombon,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
252,Salamiyah,SY,80.92,few clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
253,San Jose,US,86.9,haze,37.3394,-121.895,The Westin San Jose
254,Bandar-E Lengeh,IR,80.02,scattered clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
255,Talara,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
256,Port Moresby,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
257,Sinkat,SD,80.42,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
259,Labuhan,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
260,Moengo,SR,79.16,scattered clouds,5.6167,-54.4,Masanga
262,Clarence Town,BS,84.45,broken clouds,26.5412,-77.0636,Abaco Beach Resort
263,Danjiangkou,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
264,Kenai,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
265,Huarmey,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
266,Kendari,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
267,Dera Ghazi Khan,PK,80.82,clear sky,30.9236,66.4512,Niamat parda Center chaman
268,Antequera,ES,84.96,clear sky,37.0194,-4.5612,Hotel MM Antequera (anterior Hotel Las Villas)
269,Lebanon,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
270,Koindu,CA,82.72,clear sky,43.4668,-80.5164,Comfort Inn
271,Sheopur,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
272,Phrae,TH,71.98,overcast clouds,18.0833,100.0,Gingerbread Cottage Resort & Spa
273,Hibbing,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
274,Arlit,NE,82.8,few clouds,13.3154,12.6113,ProDAF/Diffa
275,Tabou,CI,75.79,broken clouds,4.423,-7.3528,hotêl doufoulougou
276,Macomb,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
277,Red Wing,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
278,Iracoubo,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
279,Mitsamiouli,KM,76.26,clear sky,-11.3847,43.2844,Foyer ADM
