City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Cockburn Town,TC,21.4612,-71.1419,82.99,79,63,18.86,broken clouds
199,Cooma,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
200,Flinders,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
201,Eldorado,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
202,Mao,SA,18.3851,42.4509,68.16,67,79,2.13,broken clouds
203,Pedernales,DO,18.0384,-71.744,87.03,63,69,1.68,broken clouds
204,Ji-Parana,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
205,Bathsheba,BB,13.2167,-59.5167,83.03,75,11,12.97,few clouds
206,Te Anau,NZ,-46.6,168.3333,39.79,86,76,8.12,broken clouds
207,Naze,JP,35.1333,140.3,80.71,85,63,7.65,broken clouds
208,Atambua,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
209,Vaitape,PF,-23.1203,-134.9692,73.96,75,21,16.35,few clouds
210,Necochea,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
211,Ahipara,NZ,-46.6,168.3333,39.79,86,76,8.12,broken clouds
212,Medea,MR,20.5022,-10.0711,96.73,14,9,13.35,clear sky
213,Yashalta,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
214,Kieta,PG,-2.5744,150.7967,82.26,71,100,2.59,light rain
215,Mtimbira,TZ,-8.7833,36.35,68.32,67,15,2.55,few clouds
216,Passos,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
217,Guayaramerin,BO,-10.9833,-66.1,94.42,21,1,1.41,clear sky
218,Fairbanks,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
219,Caravelas,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
220,Salalah,OM,22.9333,57.5333,91.6,33,7,5.59,clear sky
221,Bambous Virieux,MU,-20.0064,57.6608,67.37,69,76,8.01,broken clouds
222,Jujuy,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
223,New Albany,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
224,Fortuna,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
225,Silvania,CO,0.8628,-77.7263,54.84,70,48,11.32,scattered clouds
226,Daru,PG,-2.5744,150.7967,82.26,71,100,2.59,light rain
227,Arman,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
228,Monywa,MM,22.9333,97.75,69.49,99,100,0.81,overcast clouds
229,Nelson Bay,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
230,Neuquen,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
231,Carutapera,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
232,Severnyy-Kospashskiy,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
233,Jadu,IL,31.61,34.7642,90.39,35,0,4.29,clear sky
234,Maceio,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
235,Mahibadhoo,MV,-0.6,73.0833,80.71,77,99,7.52,moderate rain
236,Yanam,IN,10.5669,72.642,82.18,80,100,21.03,overcast clouds
237,Comodoro Rivadavia,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
238,Tunduru,TZ,-8.7833,36.35,68.32,67,15,2.55,few clouds
239,Sistranda,NO,70.6345,29.7185,53.38,82,0,4.61,clear sky
240,Lujan,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
241,Svetlogorsk,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
242,Palabuhanratu,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
243,Kutum,SD,14.2,24.6667,80.42,48,49,17.25,scattered clouds
244,Nanortalik,GL,77.484,-69.3632,46.87,60,39,1.52,scattered clouds
245,Vardo,NO,70.6345,29.7185,53.38,82,0,4.61,clear sky
246,Cove,BJ,11.1342,2.9386,72.48,96,81,4.99,broken clouds
247,Banihal,IN,10.5669,72.642,82.18,80,100,21.03,overcast clouds
248,Ngunguru,NZ,-46.6,168.3333,39.79,86,76,8.12,broken clouds
249,Avera,PF,-23.1203,-134.9692,73.96,75,21,16.35,few clouds
250,Algiers,MR,20.5022,-10.0711,96.73,14,9,13.35,clear sky
251,Bethel,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
252,Saskylakh,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
253,Port Hardy,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
